market_type,market_name,establishment_year,parent_main_market,parent_main_year,market_area,record_id,market_name_length,parent_name_length,area_name_length,market_era
Main Market,ºÀjºÀgÀ,1961,ºÀjºÀgÀ,1961.0,ºÀjºÀgÀ,15,7,7,7,Legacy (<=1990)
Main Market,ºÉÆ£Áß½,1986,ºÉÆ£Áß½,1986.0,ºÉÆ£Áß½,16,7,7,7,Legacy (<=1990)
Main Market,ZÀ£ÀßVj,1964,ZÀ£ÀßVj,1964.0,ZÀ£ÀßVj,17,7,7,7,Legacy (<=1990)
Main Market,PÉÆÃ¯ÁgÀ,1979,PÉÆÃ¯ÁgÀ,1979.0,PÉÆÃ¯ÁgÀ,18,8,8,8,Legacy (<=1990)
Main Market,ªÀiÁ®ÆgÀÄ,1979,ªÀiÁ®ÆgÀÄ,1979.0,ªÀiÁ®ÆgÀÄ,19,9,9,9,Legacy (<=1990)
Main Market,§AUÁgÀ¥ÉÃmÉ,1969,§AUÁgÀ¥ÉÃmÉ,1969.0,§AUÁgÀ¥ÉÃmÉ,20,11,11,11,Legacy (<=1990)
Main Market,ªÀÄÄ¼À¨ÁV®Ä,1963,ªÀÄÄ¼À¨ÁV®Ä,1963.0,ªÀÄÄ¼À¨ÁV®Ä,21,11,11,11,Legacy (<=1990)
Main Market,²æÃ¤ªÁ¸À¥ÀÄgÀ,1986,²æÃ¤ªÁ¸À¥ÀÄgÀ,1986.0,²æÃ¤ªÁ¸À¥ÀÄgÀ,22,13,13,13,Legacy (<=1990)
Main Market,aPÀÌ§¼Áî¥ÀÄgÀ,1965,aPÀÌ§¼Áî¥ÀÄgÀ,1965.0,aPÀÌ§¼Áî¥ÀÄgÀ,23,13,13,13,Legacy (<=1990)
Main Market,UËj©zÀ£ÀÆgÀÄ,1964,UËj©zÀ£ÀÆgÀÄ,1964.0,UËj©zÀ£ÀÆgÀÄ,24,12,12,12,Legacy (<=1990)
Main Market,¨ÁUÉÃ¥À°è,2006,¨ÁUÉÃ¥À°è,2006.0,¨ÁUÉÃ¥À°è,25,9,9,9,Modern (2006+)
Main Market,aAvÁªÀÄtÂ,1954,aAvÁªÀÄtÂ,1954.0,aAvÁªÀÄtÂ,26,9,9,9,Legacy (<=1990)
Main Market,²ªÀªÉÆUÀÎ,1950,²ªÀªÉÆUÀÎ,1950.0,²ªÀªÉÆUÀÎ,27,9,9,9,Legacy (<=1990)
Main Market,wÃxÀðºÀ½î,2010,wÃxÀðºÀ½î,2010.0,wÃxÀðºÀ½î,28,9,9,9,Modern (2006+)
Main Market,¸ÁUÀgÀ,1959,¸ÁUÀgÀ,1959.0,¸ÁUÀgÀ,29,6,6,6,Legacy (<=1990)
Main Market,¸ÉÆgÀ§,2010,¸ÉÆgÀ§,2010.0,¸ÉÆgÀ§,30,6,6,6,Modern (2006+)
Main Market,ºÉÆ¸À£ÀUÀgÀ,2010,ºÉÆ¸À£ÀUÀgÀ,2010.0,ºÉÆ¸À£ÀUÀgÀ,31,11,11,11,Modern (2006+)
Main Market,²PÁj¥ÀÄgÀ,1964,²PÁj¥ÀÄgÀ,1964.0,²PÁj¥ÀÄgÀ,32,9,9,9,Legacy (<=1990)
Main Market,¨sÀzÁæªÀw,1971,¨sÀzÁæªÀw,1971.0,¨sÀzÁæªÀw,33,9,9,9,Legacy (<=1990)
Main Market,vÀÄªÀÄPÀÆgÀÄ,1951,vÀÄªÀÄPÀÆgÀÄ,1951.0,vÀÄªÀÄPÀÆgÀÄ,34,12,12,12,Legacy (<=1990)
Main Market,UÀÄ©â,1963,UÀÄ©â,1963.0,UÀÄ©â,35,5,5,5,Legacy (<=1990)
Main Market,ºÀÄ½AiÀiÁgÀÄ,1961,ºÀÄ½AiÀiÁgÀÄ,1961.0,aPÀÌ£ÁAiÀÄPÀ£ÀºÀ½î,36,12,12,18,Legacy (<=1990)
Main Market,PÀÄtÂUÀ¯ï,1959,PÀÄtÂUÀ¯ï,1959.0,PÀÄtÂUÀ¯ï,37,9,9,9,Legacy (<=1990)
Main Market,ªÀÄzsÀÄVj,1959,ªÀÄzsÀÄVj,1959.0,ªÀÄzsÀÄVj,38,9,9,9,Legacy (<=1990)
Main Market,¥ÁªÀUÀqÀ,1976,¥ÁªÀUÀqÀ,1976.0,¥ÁªÀUÀqÀ,39,8,8,8,Legacy (<=1990)
Main Market,²gÁ,1955,²gÁ,1955.0,²gÁ,40,3,3,3,Legacy (<=1990)
Main Market,vÀÄgÀÄªÉÃPÉgÉ,1959,vÀÄgÀÄªÉÃPÉgÉ,1959.0,vÀÄgÀÄªÉÃPÉgÉ,41,13,13,13,Legacy (<=1990)
Main Market,w¥ÀlÆgÀÄ,1948,w¥ÀlÆgÀÄ,1948.0,w¥ÀlÆgÀÄ,42,8,8,8,Legacy (<=1990)
Main Market,ªÉÄÊ¸ÀÆgÀÄ,1950,ªÉÄÊ¸ÀÆgÀÄ,1950.0,ªÉÄÊ¸ÀÆgÀÄ,43,10,10,10,Legacy (<=1990)
Main Market,PÀÈµÀÚgÁd£ÀUÀgÀ,1956,PÀÈµÀÚgÁd£ÀUÀgÀ,1956.0,PÀÈµÀÚgÁd£ÀUÀgÀ,44,15,15,15,Legacy (<=1990)
Main Market,ºÀÄt¸ÀÆgÀÄ,1978,ºÀÄt¸ÀÆgÀÄ,1978.0,ºÀÄt¸ÀÆgÀÄ,45,10,10,10,Legacy (<=1990)
Main Market,¦jAiÀiÁ¥ÀlÖt,1993,¦jAiÀiÁ¥ÀlÖt,1993.0,¦jAiÀiÁ¥ÀlÖt,46,12,12,12,Established (1991-2005)
Main Market,n.£ÀgÀ¹Ã¥ÀÄgÀ,1994,n.£ÀgÀ¹Ã¥ÀÄgÀ,1994.0,n.£ÀgÀ¹Ã¥ÀÄgÀ,47,13,13,13,Established (1991-2005)
Main Market,£ÀAd£ÀUÀÆqÀÄ,1954,£ÀAd£ÀUÀÆqÀÄ,1954.0,£ÀAd£ÀUÀÆqÀÄ,48,12,12,12,Legacy (<=1990)
Main Market,¸ÀAvÉ¸ÀgÀUÀÆgÀÄ,1996,¸ÀAvÉ¸ÀgÀUÀÆgÀÄ,1996.0,ºÉZï.r.PÉÆÃmÉ,49,15,15,13,Established (1991-2005)
Main Market,ZÁªÀÄgÁd£ÀUÀgÀ,1961,ZÁªÀÄgÁd£ÀUÀgÀ,1961.0,ZÁªÀÄgÁd£ÀUÀgÀ,50,14,14,14,Legacy (<=1990)
Main Market,UÀÄAqÀÄè¥ÉÃmÉ,1996,UÀÄAqÀÄè¥ÉÃmÉ,1996.0,UÀÄAqÀÄè¥ÉÃmÉ,51,13,13,13,Established (1991-2005)
Main Market,PÉÆ¼ÉîÃUÁ®,1964,PÉÆ¼ÉîÃUÁ®,1964.0,PÉÆ¼ÉîÃUÁ®,52,10,10,10,Legacy (<=1990)
Main Market,ºÀ£ÀÆgÀÄ,2021,ºÀ£ÀÆgÀÄ,2021.0,ºÀ£ÀÆgÀÄ,53,8,8,8,Modern (2006+)
Main Market,ªÀÄAUÀ¼ÀÆgÀÄ,1949,ªÀÄAUÀ¼ÀÆgÀÄ,1949.0,ªÀÄAUÀ¼ÀÆgÀÄ,54,12,12,12,Legacy (<=1990)
Main Market,¨sÀAmÁé¼À,2000,¨sÀAmÁé¼À,2000.0,¨sÀAmÁé¼À,55,9,9,9,Established (1991-2005)
Main Market,¥ÀÄvÀÆÛgÀÄ,1992,¥ÀÄvÀÆÛgÀÄ,1992.0,¥ÀÄvÀÆÛgÀÄ,56,10,10,10,Established (1991-2005)
Main Market,¸ÀÄ¼Àå,1996,¸ÀÄ¼Àå,1996.0,¸ÀÄ¼Àå,57,6,6,6,Established (1991-2005)
Main Market,GqÀÄ¦,1992,GqÀÄ¦,1992.0,GqÀÄ¦,58,5,5,5,Established (1991-2005)
Main Market,PÀÄAzÁ¥ÀÄgÀ,1998,PÀÄAzÁ¥ÀÄgÀ,1998.0,PÀÄAzÁ¥ÀÄgÀ,59,11,11,11,Established (1991-2005)
Main Market,PÁPÀð¼À,1997,PÁPÀð¼À,1997.0,PÁPÀð¼À,60,7,7,7,Established (1991-2005)
Main Market,ªÀÄrPÉÃj,1979,ªÀÄrPÉÃj,1979.0,ªÀÄrPÉÃj,61,8,8,8,Legacy (<=1990)
Main Market,¸ÉÆÃªÀÄªÁgÀ¥ÉÃmÉ,1979,¸ÉÆÃªÀÄªÁgÀ¥ÉÃmÉ,1979.0,¸ÉÆÃªÀÄªÁgÀ¥ÉÃmÉ,62,16,16,16,Legacy (<=1990)
Main Market,UÉÆÃtÂPÉÆ¥Àà¯ï,1969,UÉÆÃtÂPÉÆ¥Àà¯ï,1969.0,«gÁd¥ÉÃmÉ,63,14,14,9,Legacy (<=1990)
Main Market,aPÀÌªÀÄUÀ¼ÀÆgÀÄ,1994,aPÀÌªÀÄUÀ¼ÀÆgÀÄ,1994.0,aPÀÌªÀÄUÀ¼ÀÆgÀÄ,64,15,15,15,Established (1991-2005)
Main Market,PÀqÀÆgÀÄ,1957,PÀqÀÆgÀÄ,1957.0,PÀqÀÆgÀÄ,65,8,8,8,Legacy (<=1990)
Main Market,vÀjÃPÉgÉ,1964,vÀjÃPÉgÉ,1964.0,vÀjÃPÉgÉ,66,8,8,8,Legacy (<=1990)
Main Market,ªÀÄÆrUÉgÉ,1996,ªÀÄÆrUÉgÉ,1996.0,ªÀÄÆrUÉgÉ,67,9,9,9,Established (1991-2005)
Main Market,PÉÆ¥Àà,1996,PÉÆ¥Àà,1996.0,PÉÆ¥Àà,68,6,6,6,Established (1991-2005)
Main Market,ºÁ¸À£À,1957,ºÁ¸À£À,1957.0,ºÁ¸À£À,69,6,6,6,Legacy (<=1990)
Main Market,¨ÉÃ®ÆgÀÄ,1998,¨ÉÃ®ÆgÀÄ,1998.0,¨ÉÃ®ÆgÀÄ,70,8,8,8,Established (1991-2005)
Main Market,CgÀ¹ÃPÉgÉ,1950,CgÀ¹ÃPÉgÉ,1950.0,CgÀ¹ÃPÉgÉ,71,9,9,9,Legacy (<=1990)
Main Market,ºÉÆ¼É£ÀgÀ¹Ã¥ÀÄgÀ,1964,ºÉÆ¼É£ÀgÀ¹Ã¥ÀÄgÀ,1964.0,ºÉÆ¼É£ÀgÀ¹Ã¥ÀÄgÀ,72,16,16,16,Legacy (<=1990)
Main Market,CgÀPÀ®UÀÆqÀÄ,2014,CgÀPÀ®UÀÆqÀÄ,2014.0,CgÀPÀ®UÀÆqÀÄ,73,12,12,12,Modern (2006+)
Main Market,ZÀ£ÀßgÁAiÀÄ¥ÀlÖt,1964,ZÀ£ÀßgÁAiÀÄ¥ÀlÖt,1964.0,ZÀ£ÀßgÁAiÀÄ¥ÀlÖt,74,16,16,16,Legacy (<=1990)
Main Market,¸ÀPÀ¯ÉÃ±À¥ÀÄgÀ,1953,¸ÀPÀ¯ÉÃ±À¥ÀÄgÀ,1953.0,¸ÀPÀ¯ÉÃ±À¥ÀÄgÀ,75,14,14,14,Legacy (<=1990)
Main Market,ªÀÄAqÀå,1959,ªÀÄAqÀå,1959.0,ªÀÄAqÀå,76,7,7,7,Legacy (<=1990)
Main Market,²æÃgÀAUÀ¥ÀlÖt,2003,²æÃgÀAUÀ¥ÀlÖt,2003.0,²æÃgÀAUÀ¥ÀlÖt,77,13,13,13,Established (1991-2005)
Main Market,ªÀÄzÀÆÝgÀÄ,1992,ªÀÄzÀÆÝgÀÄ,1992.0,ªÀÄzÀÆÝgÀÄ,78,10,10,10,Established (1991-2005)
Main Market,ªÀÄ¼ÀªÀ½î,2016,ªÀÄ¼ÀªÀ½î,2016.0,ªÀÄ¼ÀªÀ½î,79,9,9,9,Modern (2006+)
Main Market,PÉ.Dgï.¥ÉÃmÉ,1992,PÉ.Dgï.¥ÉÃmÉ,1992.0,PÉ.Dgï.¥ÉÃmÉ,80,12,12,12,Established (1991-2005)
Main Market,£ÁUÀªÀÄAUÀ®,1997,£ÁUÀªÀÄAUÀ®,1997.0,£ÁUÀªÀÄAUÀ®,81,11,11,11,Established (1991-2005)
Main Market,¥ÁAqÀªÀ¥ÀÄgÀ,2002,¥ÁAqÀªÀ¥ÀÄgÀ,2002.0,¥ÁAqÀªÀ¥ÀÄgÀ,82,12,12,12,Established (1991-2005)
Main Market,¨É¼ÀUÁ«,1956,¨É¼ÀUÁ«,1956.0,¨É¼ÀUÁ«,83,7,7,7,Legacy (<=1990)
Main Market,¨ÉÊ®ºÉÆAUÀ®,1936,¨ÉÊ®ºÉÆAUÀ®,1936.0,¨ÉÊ®ºÉÆAUÀ®,84,11,11,11,Legacy (<=1990)
Main Market,CxÀtÂ,1968,CxÀtÂ,1968.0,CxÀtÂ,85,5,5,5,Legacy (<=1990)
Main Market,UÉÆÃPÁPï,1948,UÉÆÃPÁPï,1948.0,UÉÆÃPÁPï,86,8,8,8,Legacy (<=1990)
Main Market,PÀÄqÀa,1961,PÀÄqÀa,1961.0,gÁAiÀÄ¨sÁUï,87,6,6,11,Legacy (<=1990)
Main Market,£ÀAzÀUÀqÀ,1961,£ÀAzÀUÀqÀ,1961.0,SÁ£Á¥ÀÄgÀ,88,9,9,9,Legacy (<=1990)
Main Market,¤¥ÁàtÂ,1956,¤¥ÁàtÂ,1956.0,aPÉÆÌÃr,89,6,6,7,Legacy (<=1990)
Main Market,gÁªÀÄzÀÄUÀð,1968,gÁªÀÄzÀÄUÀð,1968.0,gÁªÀÄzÀÄUÀð,90,11,11,11,Legacy (<=1990)
Main Market,¸ËzÀwÛ,1962,¸ËzÀwÛ,1962.0,¸ËzÀwÛ,91,6,6,6,Legacy (<=1990)
Main Market,¸ÀAPÉÃ±ÀégÀ,1949,¸ÀAPÉÃ±ÀégÀ,1949.0,ºÀÄPÉÌÃj,92,11,11,8,Legacy (<=1990)
Main Market,©eÁ¥ÀÄgÀ,1937,©eÁ¥ÀÄgÀ,1937.0,©eÁ¥ÀÄgÀ,93,8,8,8,Legacy (<=1990)
Main Market,¹AzsÀV,1996,¹AzsÀV,1996.0,¹AzsÀV,94,6,6,6,Established (1991-2005)
Main Market,EAr,2012,EAr,2012.0,EAr,95,3,3,3,Modern (2006+)
Main Market,vÁ½PÉÆÃmÉ,1964,vÁ½PÉÆÃmÉ,1964.0,ªÀÄÄzÉÝÃ©ºÁ¼À,96,9,9,13,Legacy (<=1990)
Main Market,¨ÁUÀ®PÉÆÃmÉ,1945,¨ÁUÀ®PÉÆÃmÉ,1945.0,¨ÁUÀ®PÉÆÃmÉ,97,11,11,11,Legacy (<=1990)
Main Market,©Ã¼ÀV,2010,©Ã¼ÀV,2010.0,©Ã¼ÀV,98,5,5,5,Modern (2006+)
Main Market,¨ÁzÁ«Ä,1977,¨ÁzÁ«Ä,1977.0,¨ÁzÁ«Ä,99,6,6,6,Legacy (<=1990)
Main Market,ºÀÄ£ÀUÀÄAzÀ,1977,ºÀÄ£ÀUÀÄAzÀ,1977.0,ºÀÄ£ÀUÀÄAzÀ,100,11,11,11,Legacy (<=1990)
Main Market,dªÀÄRAr,1953,dªÀÄRAr,1953.0,dªÀÄRAr,101,7,7,7,Legacy (<=1990)
Main Market,ªÀÄºÁ°AUÀ¥ÀÄgÀ,1986,ªÀÄºÁ°AUÀ¥ÀÄgÀ,1986.0,ªÀÄÄzsÉÆÃ¼À,102,14,14,11,Legacy (<=1990)
Main Market,zsÁgÀªÁqÀ,1949,zsÁgÀªÁqÀ,1949.0,zsÁgÀªÁqÀ,103,9,9,9,Legacy (<=1990)
Main Market,CtÂÚUÉÃj,1948,CtÂÚUÉÃj,1948.0,£ÀªÀ®UÀÄAzÀ,104,8,8,11,Legacy (<=1990)
Main Market,ºÀÄ§â½î,1943,ºÀÄ§â½î,1943.0,ºÀÄ§â½î,105,7,7,7,Legacy (<=1990)
Main Market,PÀÄAzÀUÉÆÃ¼À,1961,PÀÄAzÀUÉÆÃ¼À,1961.0,PÀÄAzÀUÉÆÃ¼À,106,12,12,12,Legacy (<=1990)
Main Market,PÀ®WÀlV,1982,PÀ®WÀlV,1982.0,PÀ®WÀlV,107,7,7,7,Legacy (<=1990)
Main Market,UÀzÀUÀ,1943,UÀzÀUÀ,1943.0,UÀzÀUÀ,108,6,6,6,Legacy (<=1990)
Main Market,ªÀÄÄAqÀgÀV,1959,ªÀÄÄAqÀgÀV,1959.0,ªÀÄÄAqÀgÀV,109,10,10,10,Legacy (<=1990)
Main Market,£ÀgÀUÀÄAzÀ,1947,£ÀgÀUÀÄAzÀ,1947.0,£ÀgÀUÀÄAzÀ,110,10,10,10,Legacy (<=1990)
Main Market,gÉÆÃt,1959,gÉÆÃt,1959.0,gÉÆÃt,111,5,5,5,Legacy (<=1990)
Main Market,®PÉëöäÃ±ÀégÀ,1955,®PÉëöäÃ±ÀégÀ,1955.0,²gÀºÀnÖ,112,12,12,7,Legacy (<=1990)
Main Market,ºÁªÉÃj,1955,ºÁªÉÃj,1955.0,ºÁªÉÃj,113,6,6,6,Legacy (<=1990)
Main Market,»gÉÃPÀgÀÆgÀÄ,1963,»gÉÃPÀgÀÆgÀÄ,1963.0,»gÉÃPÀgÀÆgÀÄ,114,12,12,12,Legacy (<=1990)
Main Market,gÁtÂ¨É£ÀÆßgÀÄ,1955,gÁtÂ¨É£ÀÆßgÀÄ,1955.0,gÁtÂ¨É£ÀÆßgÀÄ,115,13,13,13,Legacy (<=1990)
Main Market,¨ÁåqÀV,1943,¨ÁåqÀV,1943.0,¨ÁåqÀV,116,6,6,6,Legacy (<=1990)
Main Market,¸ÀªÀtÆgÀÄ,1957,¸ÀªÀtÆgÀÄ,1957.0,¸ÀªÀtÆgÀÄ,117,9,9,9,Legacy (<=1990)
Main Market,ºÁ£ÀUÀ¯ï,1976,ºÁ£ÀUÀ¯ï,1976.0,ºÁ£ÀUÀ¯ï,118,8,8,8,Legacy (<=1990)
Main Market,²UÁÎAªï,2002,²UÁÎAªï,2002.0,²UÁÎAªï,119,7,7,7,Established (1991-2005)
Main Market,ºÀ½AiÀiÁ¼À,1962,ºÀ½AiÀiÁ¼À,1962.0,ºÀ½AiÀiÁ¼À,120,10,10,10,Legacy (<=1990)
Main Market,PÀÄªÀÄmÁ,1960,PÀÄªÀÄmÁ,1960.0,PÀÄªÀÄmÁ,121,8,8,8,Legacy (<=1990)
Main Market,ºÉÆ£ÁßªÀgÀ,1975,ºÉÆ£ÁßªÀgÀ,1975.0,ºÉÆ£ÁßªÀgÀ,122,10,10,10,Legacy (<=1990)
Main Market,¹zÁÝ¥ÀÄgÀ,1970,¹zÁÝ¥ÀÄgÀ,1970.0,¹zÁÝ¥ÀÄgÀ,123,9,9,9,Legacy (<=1990)
Main Market,AiÀÄ¯Áè¥ÀÄgÀ,1970,AiÀÄ¯Áè¥ÀÄgÀ,1970.0,AiÀÄ¯Áè¥ÀÄgÀ,124,12,12,12,Legacy (<=1990)
Main Market,²gÀ¹,1954,²gÀ¹,1954.0,²gÀ¹,125,4,4,4,Legacy (<=1990)
Main Market,ªÀÄÄAqÀUÉÆÃqÀ,1997,ªÀÄÄAqÀUÉÆÃqÀ,1997.0,ªÀÄÄAqÀUÉÆÃqÀ,126,13,13,13,Established (1991-2005)
Main Market,PÁgÀªÁgÀ,1978,PÁgÀªÁgÀ,1978.0,PÁgÀªÁgÀ,127,8,8,8,Legacy (<=1990)
Main Market,PÀ®§ÄgÀV,1940,PÀ®§ÄgÀV,1940.0,PÀªÀÄ¯Á¥ÀÄgÀ,128,8,8,12,Legacy (<=1990)
Main Market,C¥sïd¯ï¥ÀÄgÀ,2017,C¥sïd¯ï¥ÀÄgÀ,2017.0,C¥sÀd¯ï¥ÀÄgÀ,129,12,12,12,Modern (2006+)
Main Market,C¼ÀAzÀ,2014,C¼ÀAzÀ,2014.0,D¼ÀAzÀ,130,6,6,6,Modern (2006+)
Main Market,eÉÃªÀVð,1978,eÉÃªÀVð,1978.0,eÉÃªÀVð,131,7,7,7,Legacy (<=1990)
Main Market,avÁÛ¥ÀÄgÀ,1951,avÁÛ¥ÀÄgÀ,1951.0,avÁÛ¥ÀÄgÀ,132,9,9,9,Legacy (<=1990)
Main Market,¸ÉÃqÀA,1947,¸ÉÃqÀA,1947.0,¸ÉÃqÀA,133,6,6,6,Legacy (<=1990)
Main Market,aAZÉÆÃ½,1996,aAZÉÆÃ½,1996.0,aAZÉÆÃ½,134,7,7,7,Established (1991-2005)
Main Market,AiÀiÁzÀVj,1947,AiÀiÁzÀVj,1947.0,AiÀiÁzÀVj,135,9,9,9,Legacy (<=1990)
Main Market,±ÀºÁ¥ÀÄgÀ,1951,±ÀºÁ¥ÀÄgÀ,1951.0,±ÀºÁ¥ÀÄgÀ,136,9,9,9,Legacy (<=1990)
Main Market,¸ÀÄgÀ¥ÀÄgÀ,1951,¸ÀÄgÀ¥ÀÄgÀ,1951.0,¸ÀÄgÀ¥ÀÄgÀ,137,10,10,10,Legacy (<=1990)
Main Market,§¼Áîj,1949,§¼Áîj,1949.0,§¼Áîj,138,5,5,5,Legacy (<=1990)
Main Market,ºÀgÀ¥À£ÀºÀ½î,1986,ºÀgÀ¥À£ÀºÀ½î,1986.0,ºÀgÀ¥À£ÀºÀ½î,139,12,12,12,Legacy (<=1990)
Main Market,PÉÆlÆÖgÀÄ,1973,PÉÆlÆÖgÀÄ,1973.0,PÀÆrèV,140,9,9,6,Legacy (<=1990)
Main Market,ºÉÆ¸À¥ÉÃmÉ,1973,ºÉÆ¸À¥ÉÃmÉ,1973.0,ºÉÆ¸À¥ÉÃmÉ,141,10,10,10,Legacy (<=1990)
Main Market,ºÉZï.©.ºÀ½î,1973,ºÉZï.©.ºÀ½î,1973.0,ºÉZï.©.ºÀ½î,142,11,11,11,Legacy (<=1990)
Main Market,ºÀÆ«£ÀºÀqÀUÀ°,1993,ºÀÆ«£ÀºÀqÀUÀ°,1993.0,ºÀÆ«£ÀºÀqÀUÀ°,143,13,13,13,Established (1991-2005)
Main Market,¹gÀÄUÀÄ¥Àà,1973,¹gÀÄUÀÄ¥Àà,1973.0,¹gÀÄUÀÄ¥Àà,144,10,10,10,Legacy (<=1990)
Main Market,©ÃzÀgï,1940,©ÃzÀgï,1940.0,©ÃzÀgï,145,6,6,6,Legacy (<=1990)
Main Market,ºÀÄªÀÄ£Á¨Ázï,1951,ºÀÄªÀÄ£Á¨Ázï,1951.0,ºÀÄªÀÄ£Á¨Ázï,146,12,12,12,Legacy (<=1990)
Main Market,§¸ÀªÀPÀ¯Áåt,1955,§¸ÀªÀPÀ¯Áåt,1955.0,§¸ÀªÀPÀ¯Áåt,147,11,11,11,Legacy (<=1990)
Main Market,¨sÁ°Ì,1949,¨sÁ°Ì,1949.0,¨sÁ°Ì,148,5,5,5,Legacy (<=1990)
Main Market,OgÁzï,1971,OgÁzï,1971.0,OgÁzï,149,5,5,5,Legacy (<=1990)
Main Market,gÁAiÀÄZÀÆgÀÄ,1933,gÁAiÀÄZÀÆgÀÄ,1933.0,gÁAiÀÄZÀÆgÀÄ,150,12,12,12,Legacy (<=1990)
Main Market,°AUÀ¸ÀÆUÀÆgÀÄ,1993,°AUÀ¸ÀÆUÀÆgÀÄ,1993.0,°AUÀ¸ÀÆUÀÆgÀÄ,151,13,13,13,Established (1991-2005)
Main Market,ªÀiÁ¤é,1973,ªÀiÁ¤é,1973.0,ªÀiÁ¤é,152,6,6,6,Legacy (<=1990)
Main Market,¹AzsÀ£ÀÆgÀÄ,1976,¹AzsÀ£ÀÆgÀÄ,1976.0,¹AzsÀ£ÀÆgÀÄ,153,11,11,11,Legacy (<=1990)
Main Market,PÉÆ¥Àà¼À,1948,PÉÆ¥Àà¼À,1948.0,PÉÆ¥Àà¼À,154,8,8,8,Legacy (<=1990)
Main Market,UÀAUÁªÀw,1957,UÀAUÁªÀw,1957.0,UÀAUÁªÀw,155,8,8,8,Legacy (<=1990)
Main Market,¨sÀvÀÛ ªÀÄvÀÄÛ CQÌ «±ÉÃµÀ PÀÈ¶ GvÀà£Àß ªÀiÁgÀÄPÀmÉÖ ¸À«Äw PÁgÀlV,2010,¨sÀvÀÛ ªÀÄvÀÄÛ CQÌ «±ÉÃµÀ PÀÈ¶ GvÀà£Àß ªÀiÁgÀÄPÀmÉÖ ¸À«Äw PÁgÀlV,2010.0,PÀ£ÀPÀVj,156,64,64,8,Modern (2006+)
Main Market,AiÀÄ®ÄãUÁð,1973,AiÀÄ®ÄãUÁð,1973.0,AiÀÄ®ÄãUÁð,157,10,10,10,Legacy (<=1990)
Main Market,PÀÄµÀÖV,1938,PÀÄµÀÖV,1938.0,PÀÄµÀÖV,158,7,7,7,Legacy (<=1990)
Sub Market,PÉ.Dgï.¥ÀÄgÀA,1994,¨ÉAUÀ¼ÀÆgÀÄ,1955.0,¨ÉAUÀ¼ÀÆgÀÄ GvÀÛgÀ,159,13,11,18,Established (1991-2005)
Sub Market,ZÀAzÁ¥ÀÄgÀ,1995,¨ÉAUÀ¼ÀÆgÀÄ,1955.0,¨ÉAUÀ¼ÀÆgÀÄ zÀQët,160,10,11,17,Established (1991-2005)
